,pH,Na,Mg,Ca,DOC,Alkalinity
198,8.5,23.65,6,28.06,0.65,64
199,6.86,203.22,7.93,60.53,4.53,143
200,7.55,19.26,7.79,36.72,0.5,95
201,7.16,79.7,8.14,48.48,3.23,97
202,6.85,13.25,3.51,19.91,0.33,43
203,6.82,26.68,6.7,26.95,0.37,84
204,7.49,17.83,6.78,24.3,0.5,54
205,7.6,12.03,5.64,17.64,0.27,41
206,7.82,13.5,5.08,17.92,0.54,44
207,7.95,29.84,7.17,18.46,1.1,48
208,8.39,37.82,7.73,27.93,1.73,85
209,8.67,35.55,7.33,30.32,1.17,71
210,7.94,48.58,7.5,24.53,3.84,96
211,7.85,170.34,6.31,39.65,3.34,92
212,8.04,25.37,5.45,27.68,1.24,49
213,9.56,92.86,9.99,43.61,2.65,77
214,8.12,31.36,8.56,29.3,1.44,71
215,7.63,52.38,11.94,37.98,1.6,77
216,7.64,109.52,7.54,53.28,3.21,88
217,7.2,13.44,6.28,21.84,0.95,34
218,8.52,60.74,11.06,36.38,1.54,81
219,7.3,14.52,3.37,24.76,2.5,60
220,8.6,25.97,4.34,27.82,2.7,68
221,7.9,34.34,6.54,33.06,2.7,77
222,7.6,137.67,5.89,102.09,4.4,23
223,8,13.48,4,17.21,1.8,44
224,7.6,7.68,5.29,26.6,1.5,69
225,6.2,8.34,4.82,22.69,1.9,60
226,7.8,10.29,3.22,14.71,1.9,35
227,7.2,4.92,2.23,10.73,1,26
228,7.5,12.65,3.49,17.26,1.5,40
229,7.4,9.76,3.59,18.06,1.2,47
230,8.5,4.66,1.46,7.39,1.1,25
231,8.8,56.38,4.78,25.02,2.8,56
232,7.9,460.39,10.37,68.41,8.6,136
233,8.3,5.86,5.27,19.98,1.9,63
234,8.5,83.2,5.24,25.52,3.1,71
235,7.2,64.35,7.76,36.04,4.3,72
236,8.3,54.87,7.89,35.34,4.8,73
237,7.6,17.2,5.32,31.56,1.7,80
238,7.3,53.74,6.74,34.58,4.9,55
239,7.4,78.21,8.53,43.89,5.5,50
240,7.6,12.8,5.46,28.63,2,75
241,7.4,81.9,7.96,40.68,4.5,74
242,7.3,51.02,9.99,45.17,4.5,126
243,7.5,143.62,9.89,76.91,5.9,100
244,7.2,6.08,4.11,17.98,2.3,63.2
245,7.2,11.48,6.68,29.64,2.6,76.6
246,8,19.94,3.56,17.6,1.5,64.2
247,6.5,15.11,4.37,19.46,2.6,70.2
248,7,9,2.99,15.62,3.8,53.2
249,7,9.65,5.19,19.01,3.5,77.7
250,7.2,12.05,6.54,25.9,3.1,90.5
251,7.3,7.89,2.48,11.14,4.6,37.2
252,7.1,19.14,3.02,16.77,6.1,40.2
253,7.3,7.49,3.51,14.22,5.4,52.7
254,7.5,13.01,4.33,17.91,5.8,56.4
255,6.9,5.75,1.98,9.84,2.4,41.7
256,7.1,42.34,8.23,50.6,6.8,98.8
257,7.7,5.66,2.02,9.47,2.1,40.1
258,7.3,4.41,2.2,10.34,2.1,33.2
259,6.8,5.4,1.96,8.91,2.5,32.9
260,6.9,18.89,4.75,18.54,2.9,65
261,8.3,7.81,2.58,12.17,2.1,39.1
262,8,26.83,2.56,17.72,3.9,52.6
263,8.1,42.65,5.41,22.64,5.3,83.4
264,6.9,69.66,5.38,26.17,7.7,89.6
265,7.8,125.87,12.44,380.36,24.7,437.6
266,7.3,21.17,4.76,23.05,6.5,60.9
267,7.4,35.24,5.67,25.09,6.6,49.4
268,6.8,58.11,6.17,20.7,7.8,34.9
269,7.4,42.66,5.75,23.18,8.5,34.1
270,7.7,22.47,3.55,18.34,6.2,38.4
271,8,12.19,4.2,16.26,4.8,38
272,7.4,16.62,4.99,21.48,9.8,45.2
273,7,27.4,4.13,17.82,7.2,31.1
274,7.6,15.33,4.63,21.1,7,53.9
275,9.1,24.08,5.31,23.7,6.5,57.5
276,7.3,33.87,5.42,21.01,6.9,41.8
277,7.4,23.18,4.27,17.85,6,45.5
278,7.3,12.66,3.63,15.66,6.3,30.3
279,7.3,21.58,5.83,23.79,6.4,44.8
280,8.3,25.59,5.02,19.68,5.7,42.4
281,7.5,59.64,5.11,18.53,8.3,62.1
282,7.5,36.36,5.83,16.22,5.3,40.9
283,8.4,11.24,3.01,15.78,4,41.7
284,7.9,12.29,2.7,15.33,4,35.9
285,7.6,5.57,1.9,7.85,2.9,22.3
